category,brand,weight_kg,rating,warranty_years,power_usage_watts,feature_score,price
Kitchen,BrandB,47.86,3.7,3,790,1.28,710.85
Kitchen,BrandC,25.09,4.0,4,550,64.87,1025.32
Apparel,BrandC,10.88,2.7,1,1069,45.43,666.76
Furniture,BrandE,30.85,4.4,2,1423,25.52,834.76
Kitchen,BrandC,3.12,1.3,3,1577,61.81,953.84
Electronics,BrandA,3.46,2.5,1,1133,42.12,709.78
Electronics,BrandA,11.8,1.0,3,439,0.44,430.75
Electronics,BrandC,22.18,3.9,5,425,40.83,918.87
Electronics,BrandA,16.93,2.6,5,80,34.98,832.03
Apparel,BrandC,0.69,3.4,2,1214,76.76,1092.67
Electronics,BrandD,44.64,3.0,2,1424,88.9,1146.82
Kitchen,BrandE,18.14,2.1,1,272,69.78,827.85
Toys,BrandB,16.61,4.5,3,725,58.44,895.71
Electronics,BrandE,26.22,2.5,1,632,26.75,525.7
Apparel,BrandC,22.41,3.7,1,240,11.75,369.35
Apparel,BrandC,29.92,1.7,2,902,10.48,679.96
Electronics,BrandC,29.82,4.9,0,72,16.26,311.43
Toys,BrandD,11.87,4.1,5,1045,7.59,1107.63
Electronics,BrandA,34.56,2.3,2,1788,59.61,1063.93
Apparel,BrandD,7.62,3.3,2,1802,45.03,909.83
Furniture,BrandC,16.69,2.2,5,762,46.98,902.56
Kitchen,BrandE,21.73,3.6,2,1003,97.46,1281.56
Apparel,BrandA,47.68,2.4,0,15,4.24,281.64
Electronics,BrandB,31.94,3.1,3,764,94.69,1077.26
Kitchen,BrandE,33.29,2.9,1,1431,63.35,994.44
Electronics,BrandC,17.89,4.9,0,259,18.36,547.93
Electronics,BrandD,17.68,4.0,5,480,59.05,1121.34
Furniture,BrandE,40.74,4.7,1,1847,70.9,1222.48
Kitchen,BrandD,24.09,3.3,1,1144,63.57,976.48
Kitchen,BrandD,27.21,4.5,3,621,16.19,885.12
Furniture,BrandB,2.73,1.2,0,1843,36.4,617.75
Apparel,BrandA,47.21,1.5,2,1835,52.91,1006.15
Electronics,BrandB,7.27,3.7,5,629,98.22,1244.75
Toys,BrandA,5.71,1.3,0,524,65.92,531.29
Electronics,BrandE,16.71,4.3,1,599,66.22,929.63
Electronics,BrandA,16.77,1.1,5,1629,90.47,1325.05
Apparel,BrandE,16.56,4.6,0,1228,24.1,629.16
Electronics,BrandC,23.28,3.6,3,1945,6.62,1025.89
Furniture,BrandD,41.59,3.4,1,888,97.52,1037.04
Furniture,BrandC,45.34,2.2,5,609,51.39,1223.28
Kitchen,BrandB,23.9,4.5,5,1993,56.53,1429.85
Toys,BrandA,11.45,2.0,2,232,70.29,731.56
Electronics,BrandA,38.95,1.8,4,203,64.88,917.48
Electronics,BrandB,18.79,3.6,4,1065,54.16,1193.78
Apparel,BrandD,12.03,1.3,2,1633,85.14,1019.46
Furniture,BrandC,40.97,4.7,1,588,5.16,572.85
Toys,BrandC,36.74,2.1,4,677,87.65,1047.52
Kitchen,BrandD,16.81,4.6,2,169,7.46,556.7
Furniture,BrandD,23.78,4.0,2,1869,9.23,645.01
Kitchen,BrandC,28.2,3.7,2,1007,11.44,681.11
Apparel,BrandC,42.11,4.0,0,904,68.26,782.81
Apparel,BrandD,14.34,4.1,3,218,61.62,1004.82
Electronics,BrandA,12.28,1.1,0,315,44.72,336.36
Toys,BrandA,45.4,1.7,5,1129,44.23,1226.31
Kitchen,BrandA,8.17,2.0,4,33,70.99,845.13
Furniture,BrandA,4.63,4.6,0,1319,66.68,884.39
Apparel,BrandB,37.87,4.1,2,624,24.96,718.94
Electronics,BrandC,48.41,4.9,0,1715,21.62,798.49
Electronics,BrandA,28.69,3.5,5,1947,43.41,1395.05
Kitchen,BrandB,17.01,2.3,4,1849,48.11,1196.73
Apparel,BrandB,35.03,3.6,4,702,70.46,1000.65
Toys,BrandB,34.74,3.1,0,670,16.11,375.34
Apparel,BrandD,24.9,1.6,4,1847,86.66,1280.15
Kitchen,BrandC,4.93,1.1,1,733,68.43,789.02
Kitchen,BrandD,1.43,2.2,2,1821,56.68,948.37
Apparel,BrandC,14.24,3.0,0,289,4.02,315.45
Kitchen,BrandC,17.66,1.4,5,706,95.73,1258.48
Apparel,BrandD,31.39,2.8,3,829,13.43,615.35
Furniture,BrandA,37.02,3.8,5,1212,13.07,1059.16
Apparel,BrandB,42.95,2.1,2,492,33.03,733.4
Apparel,BrandE,22.4,3.3,1,562,22.52,476.09
Kitchen,BrandD,32.79,4.0,3,789,48.08,910.6
Kitchen,BrandB,42.6,3.3,2,46,9.63,653.76
Electronics,BrandB,44.88,1.2,5,509,75.04,1172.98
Electronics,BrandA,43.66,3.3,1,270,81.53,971.54
Furniture,BrandC,48.02,2.8,0,793,47.89,757.64
Electronics,BrandE,3.15,3.1,0,1983,84.85,926.0
Apparel,BrandB,29.55,3.3,1,245,22.3,542.16
Kitchen,BrandA,28.51,3.2,2,1868,29.4,960.23
Electronics,BrandB,43.52,4.1,4,1955,78.12,1555.38
Electronics,BrandE,10.35,1.5,1,1048,75.31,936.04
Furniture,BrandB,15.24,5.0,3,994,53.03,909.91
Furniture,BrandA,25.86,2.3,4,1144,48.97,1074.21
Apparel,BrandA,12.71,1.7,5,1463,82.97,1284.36
Kitchen,BrandD,36.04,1.2,3,1894,89.8,1329.81
Furniture,BrandC,39.04,1.3,2,1789,78.53,994.56
Electronics,BrandC,47.13,4.5,1,1812,88.13,1265.2
Kitchen,BrandA,49.54,5.0,5,1243,50.69,1206.01
Kitchen,BrandA,47.65,1.3,2,953,41.62,710.84
Electronics,BrandA,13.28,3.7,4,1223,91.95,1298.12
Furniture,BrandB,14.98,4.7,1,685,68.32,857.65
Electronics,BrandA,18.64,1.1,0,669,43.95,461.01
Kitchen,BrandE,7.45,4.9,1,169,79.52,926.72
Toys,BrandA,0.57,3.3,4,375,17.82,625.1
Toys,BrandD,6.6,4.1,4,1815,94.24,1405.33
Apparel,BrandD,16.05,4.4,2,737,33.95,753.08
Electronics,BrandA,21.97,1.8,0,1617,30.18,597.97
Electronics,BrandA,14.59,3.3,0,717,83.17,660.2
Apparel,BrandA,38.99,3.9,5,1482,68.1,1409.67
Apparel,BrandD,40.56,3.1,3,234,83.45,978.31
Apparel,BrandD,49.44,1.2,4,656,99.73,1463.32
Kitchen,BrandC,10.51,1.5,0,31,48.74,337.99
Electronics,BrandB,18.81,4.0,3,1047,29.57,1021.56
Kitchen,BrandE,15.49,3.3,3,782,20.13,888.77
Apparel,BrandC,21.68,1.3,3,1737,59.23,1082.53
Electronics,BrandA,47.95,3.0,5,1060,46.93,1352.49
Kitchen,BrandD,23.95,1.9,4,348,44.86,942.17
Kitchen,BrandC,6.4,1.4,4,1903,43.66,1169.43
Apparel,BrandE,0.72,2.5,2,1573,45.1,879.11
Electronics,BrandB,14.48,3.4,5,210,66.48,970.15
Apparel,BrandE,3.92,2.1,1,1005,66.84,706.71
Electronics,BrandE,9.99,3.3,4,1623,59.83,1168.08
Toys,BrandE,28.11,3.4,0,555,80.55,879.85
Furniture,BrandD,36.6,1.4,4,634,18.57,763.32
Furniture,BrandD,14.43,4.6,4,1702,92.42,1584.59
Furniture,BrandB,32.15,3.3,0,1641,67.34,948.21
Apparel,BrandC,5.59,1.8,0,731,31.93,449.43
Toys,BrandD,18.67,1.1,3,1549,55.17,894.6
Electronics,BrandE,46.64,1.6,1,1605,68.58,878.09
Kitchen,BrandA,48.29,5.0,4,14,89.61,1181.59
Electronics,BrandD,38.34,3.4,4,1108,64.8,1237.66
Kitchen,BrandA,1.12,3.5,5,770,59.87,1132.12
Electronics,BrandD,3.55,1.2,2,1815,94.59,1163.47
Toys,BrandC,6.98,1.3,1,298,93.77,869.25
Kitchen,BrandA,17.09,3.9,3,656,67.33,958.08
Apparel,BrandE,31.08,4.0,1,857,78.76,989.84
Electronics,BrandB,45.89,3.5,2,728,93.36,1180.0
Electronics,BrandB,11.31,3.7,2,1233,23.95,637.23
Kitchen,BrandA,3.8,2.2,1,1857,10.53,508.01
Apparel,BrandE,41.63,4.9,0,1080,46.66,639.17
Apparel,BrandE,30.78,4.2,1,365,8.14,496.01
Toys,BrandC,32.29,1.4,5,966,10.32,739.74
Apparel,BrandC,30.2,5.0,2,1343,22.23,889.85
Apparel,BrandA,48.5,2.8,1,181,49.25,504.54
Apparel,BrandC,6.64,1.4,2,1639,63.12,895.25
Furniture,BrandA,34.85,4.4,4,1640,69.81,1110.32
Toys,BrandD,30.01,1.6,5,768,98.71,1124.09
Electronics,BrandE,1.53,1.5,5,241,83.39,988.6
Kitchen,BrandD,11.24,1.6,1,567,48.5,535.25
Electronics,BrandB,42.35,4.6,4,983,26.65,951.31
Toys,BrandA,35.39,1.0,1,860,31.09,408.84
Kitchen,BrandB,4.7,4.9,1,784,76.52,1045.01
Toys,BrandE,9.04,3.7,0,1030,12.36,507.13
Apparel,BrandC,45.73,4.4,5,724,93.42,1351.11
Kitchen,BrandA,34.13,5.0,1,403,75.61,842.87
Apparel,BrandA,43.29,2.4,2,329,56.03,844.26
Electronics,BrandE,29.06,2.5,2,211,3.04,379.57
Electronics,BrandC,17.75,1.5,0,154,82.19,818.48
Kitchen,BrandC,20.22,4.7,5,1774,43.53,1345.72
Kitchen,BrandA,29.25,3.0,4,1344,75.79,1177.76
Toys,BrandE,7.79,5.0,1,350,88.88,754.54
Toys,BrandC,42.49,1.2,1,1997,63.24,859.24
Apparel,BrandB,30.69,2.7,0,425,99.7,929.63
Kitchen,BrandA,28.09,1.4,3,1201,4.62,897.71
Electronics,BrandC,21.26,2.9,4,1270,99.83,1156.78
Toys,BrandC,17.38,1.8,4,1489,22.59,893.27
Toys,BrandA,19.89,4.5,0,1720,98.4,1181.46
Electronics,BrandE,49.65,3.1,2,443,36.99,840.26
Toys,BrandD,24.9,4.5,0,182,58.92,545.15
Apparel,BrandC,25.22,1.3,3,1541,96.41,1099.76
Kitchen,BrandA,12.97,3.1,0,718,80.38,594.78
Electronics,BrandB,23.75,2.6,3,1515,39.93,1070.72
Kitchen,BrandC,42.77,4.3,1,161,15.31,545.77
Toys,BrandE,13.01,3.5,2,1000,29.25,858.89
Toys,BrandB,47.9,4.8,0,1365,20.4,782.98
Electronics,BrandC,30.55,3.1,5,51,65.37,1010.41
Apparel,BrandE,47.63,5.0,4,1510,10.02,1069.88
Furniture,BrandE,18.42,2.9,5,1434,9.88,982.43
Electronics,BrandB,25.37,2.8,5,348,14.8,732.09
Furniture,BrandE,35.86,2.2,4,26,97.3,1071.1
Furniture,BrandD,36.92,1.7,1,256,95.9,706.53
Apparel,BrandE,9.46,2.4,0,1274,96.03,843.57
Furniture,BrandB,18.75,3.0,0,1790,75.41,926.57
Furniture,BrandA,37.57,3.9,4,326,8.83,921.05
Apparel,BrandE,10.89,3.7,2,64,77.7,793.1
Furniture,BrandD,14.97,2.8,3,968,17.1,661.54
Furniture,BrandC,45.41,3.5,4,756,4.27,715.76
Furniture,BrandB,6.79,1.2,5,23,17.65,470.69
Electronics,BrandB,12.93,2.2,1,98,23.39,263.38
Electronics,BrandA,15.36,1.8,2,1851,97.11,1129.31
Electronics,BrandB,35.68,4.0,3,452,48.8,1035.51
Apparel,BrandD,29.97,4.3,5,1215,29.42,1173.21
Toys,BrandB,20.82,1.1,0,1510,13.58,406.31
Furniture,BrandD,34.25,5.0,5,1098,19.01,1232.97
Furniture,BrandC,16.62,2.6,0,22,12.67,318.68
Apparel,BrandB,47.25,3.8,3,1323,85.69,1343.86
Furniture,BrandA,47.27,2.8,4,1829,99.5,1584.33
Electronics,BrandE,29.48,4.0,0,650,38.69,586.21
Toys,BrandC,32.07,2.9,3,1508,9.28,1020.07
Kitchen,BrandD,15.56,3.1,5,1632,52.1,1307.39
Furniture,BrandE,17.97,1.1,5,1999,67.87,1260.59
Electronics,BrandC,2.78,1.8,3,1284,38.92,708.54
Kitchen,BrandC,42.08,3.1,3,1909,71.87,1104.23
Toys,BrandC,12.27,1.6,0,1506,80.42,821.17
Kitchen,BrandC,45.72,4.7,5,145,88.66,1286.03
Electronics,BrandD,22.08,2.6,2,926,41.77,884.22
Kitchen,BrandA,46.69,3.8,0,1923,21.28,593.65
Apparel,BrandB,42.63,2.1,4,807,97.45,1318.11
Kitchen,BrandB,29.87,3.3,3,1758,45.25,1092.97
Furniture,BrandB,43.58,2.9,0,1656,77.57,764.71
Furniture,BrandE,46.16,1.3,2,1097,80.18,1042.48
Apparel,BrandB,28.12,2.2,2,1886,99.67,1176.38
Electronics,BrandA,49.54,3.3,0,1232,40.5,560.11
Furniture,BrandC,17.2,2.9,3,531,75.79,894.31
Toys,BrandD,13.6,4.6,2,1995,88.5,1280.49
Furniture,BrandB,8.09,4.1,2,1932,16.87,857.71
Furniture,BrandD,22.1,2.1,0,1887,43.65,769.67
Electronics,BrandE,25.01,2.9,5,837,71.44,1343.39
Kitchen,BrandB,7.14,1.5,1,1644,20.81,645.85
Furniture,BrandA,7.73,1.0,5,209,12.31,772.41
Apparel,BrandD,3.07,3.5,1,1144,92.16,824.79
Kitchen,BrandA,1.28,2.8,4,1486,35.25,1082.67
Toys,BrandC,37.16,3.6,5,979,62.43,1126.09
Electronics,BrandE,20.76,2.0,0,1757,80.87,889.75
Toys,BrandE,40.55,4.5,2,340,98.74,1337.99
Kitchen,BrandE,22.09,1.1,4,107,85.87,952.51
Kitchen,BrandA,42.25,1.0,2,100,94.71,943.24
Kitchen,BrandA,34.94,3.7,3,808,41.22,871.2
Toys,BrandC,7.1,3.8,4,1520,73.55,1313.89
Kitchen,BrandD,11.0,3.1,0,1521,23.9,522.63
Toys,BrandE,2.03,2.2,5,1500,0.9,883.94
Kitchen,BrandC,25.97,1.5,5,1728,47.78,1120.3
Apparel,BrandD,31.14,1.1,2,724,86.03,834.36
Kitchen,BrandC,7.96,1.1,1,848,1.9,472.22
Toys,BrandD,27.09,4.2,0,104,65.73,529.38
Furniture,BrandD,43.15,2.1,0,1472,19.89,702.42
Kitchen,BrandD,44.22,3.9,0,392,8.08,508.63
Furniture,BrandC,10.63,2.1,4,411,40.63,705.19
Apparel,BrandA,17.75,2.7,0,697,45.83,607.42
Electronics,BrandD,13.97,2.0,1,367,61.4,595.92
Apparel,BrandB,35.41,2.2,1,303,20.71,477.6
Kitchen,BrandA,11.91,1.4,0,1056,39.48,535.07
Furniture,BrandC,18.29,2.6,0,1354,21.07,659.47
Furniture,BrandB,31.03,4.1,0,533,1.77,456.28
Toys,BrandB,9.8,1.9,5,1579,80.48,1251.74
Furniture,BrandD,17.37,2.2,3,76,37.77,464.99
Toys,BrandB,43.83,4.9,3,1068,94.28,1191.41
Electronics,BrandB,7.15,4.9,0,962,76.98,793.64
Kitchen,BrandD,17.04,1.1,4,901,63.87,1085.45
Toys,BrandA,33.3,3.5,1,515,62.13,741.85
Electronics,BrandB,29.81,3.3,0,1715,16.02,714.96
Furniture,BrandD,5.97,1.4,1,535,97.64,657.49
Furniture,BrandB,16.51,3.1,3,991,1.09,743.17
Electronics,BrandB,4.19,1.3,4,754,89.1,1187.87
Furniture,BrandB,7.03,1.5,2,101,32.85,238.92
Electronics,BrandB,2.25,2.3,0,979,62.03,627.83
Toys,BrandE,44.58,2.4,1,461,36.49,633.91
Toys,BrandA,14.84,3.8,5,1438,26.98,1193.22
Electronics,BrandB,16.18,3.9,5,729,21.25,1046.89
Toys,BrandA,31.92,3.5,0,1158,57.14,796.19
Toys,BrandB,6.95,3.2,3,819,40.69,903.03
Toys,BrandB,36.86,3.4,5,1226,21.83,1113.07
Apparel,BrandB,4.47,1.6,4,956,27.98,832.72
Kitchen,BrandA,34.06,1.8,1,1614,5.25,822.51
Furniture,BrandC,18.95,3.6,0,748,57.97,780.24
Apparel,BrandE,19.41,1.9,5,452,77.03,1129.85
Toys,BrandD,48.19,3.5,5,1340,90.5,1516.52
Electronics,BrandC,49.1,4.9,5,911,65.95,1558.08
Toys,BrandC,39.87,1.5,3,1137,71.85,1099.12
Kitchen,BrandA,5.58,4.9,2,1852,6.05,945.15
Toys,BrandC,27.53,3.3,4,234,95.36,1207.09
Electronics,BrandC,29.39,4.3,1,58,29.05,383.78
Kitchen,BrandB,44.66,1.8,4,1415,16.01,872.85
Toys,BrandE,38.94,1.2,5,1734,51.52,1236.73
Kitchen,BrandE,31.74,4.9,5,297,79.28,1358.18
Furniture,BrandA,12.18,1.1,3,219,12.45,509.19
Furniture,BrandE,13.48,5.0,2,1762,12.37,983.4
Toys,BrandC,6.43,3.3,2,559,2.22,447.49
Kitchen,BrandC,47.47,4.9,0,477,72.83,927.1
Electronics,BrandE,37.48,4.5,1,1272,2.7,687.86
Toys,BrandB,9.13,2.9,5,379,89.75,1113.86
Furniture,BrandA,38.95,2.2,5,1781,70.74,1343.3
Furniture,BrandB,15.28,5.0,2,593,45.71,895.73
Toys,BrandE,30.04,3.4,3,475,99.57,1243.85
Kitchen,BrandA,16.38,2.6,2,1120,31.76,836.6
Furniture,BrandC,45.57,4.2,2,764,23.97,898.91
Kitchen,BrandA,17.99,1.6,5,1201,11.01,1007.07
Furniture,BrandD,48.11,3.0,5,1109,8.76,867.0
Furniture,BrandE,4.6,4.0,2,1317,18.67,783.69
Apparel,BrandA,44.27,4.4,3,1551,76.91,1350.71
Furniture,BrandC,9.06,4.3,2,1762,45.85,1021.95
Electronics,BrandD,38.57,3.1,2,888,76.63,989.62
Toys,BrandD,7.0,1.5,1,196,59.4,483.75
Toys,BrandA,36.42,3.0,4,1278,10.51,1066.47
Kitchen,BrandA,12.0,2.6,1,1999,9.99,681.11
Furniture,BrandA,2.17,3.3,1,1291,54.78,803.63
Electronics,BrandA,8.03,1.7,4,865,40.48,1118.79
Kitchen,BrandD,40.85,4.8,5,787,66.17,1406.5
Apparel,BrandC,37.99,1.8,5,1323,45.68,1188.82
Kitchen,BrandE,28.88,1.7,5,901,37.42,958.59
Kitchen,BrandC,26.81,2.2,4,1775,5.11,1246.06
Furniture,BrandE,2.46,5.0,2,775,18.78,689.81
Apparel,BrandD,17.73,4.0,3,1337,72.96,1090.79
Kitchen,BrandE,45.17,1.7,5,296,4.64,676.14
Electronics,BrandC,20.64,4.8,2,799,12.0,607.94
Electronics,BrandD,32.86,3.9,0,225,42.99,282.67
Toys,BrandB,27.45,1.7,2,567,78.4,922.31
Apparel,BrandD,45.62,2.5,5,216,96.42,1387.32
Apparel,BrandE,4.32,1.7,4,1853,69.8,1390.35
Toys,BrandA,22.52,1.8,5,712,22.3,1000.03
Kitchen,BrandE,10.01,2.0,4,705,47.07,862.68
Apparel,BrandD,29.57,3.0,1,1220,39.65,801.19
Electronics,BrandD,19.49,3.3,2,1077,41.45,1082.16
Electronics,BrandA,31.18,5.0,1,1060,12.57,655.72
Furniture,BrandA,3.66,3.4,3,456,67.29,897.05
